prefix,alpha,beta,gamma,delta,epsilon,
A,-,200,300,240,400,
 , , , , , ,
AB,-,-,920,1700,1040,
AG,-,1380,-,1740,2820,
AD,-,990,720,-,750,
AE,-,1100,1800,1250,-,
 , , , , , ,
ABG,-,-,-,3000,4560,
ABD,-,-,2820,-,2890,
ABE,-,-,3560,2570,-,
AGB,-,-,-,4630,3200,
AGD,-,4240,-,-,3440,
AGE,-,4500,-,4860,-,
ADB,-,-,1830,-,1970,
ADG,-,1920,-,-,3520,
ADE,-,1590,2430,-,-,
AEB,-,-,2180,3350,-,
AEG,-,3240,-,3720,-,
AED,-,2750,2210,-,-,
 , , , , , ,
ABGD,-,-,-,-,5380,
ABED,-,-,4170,-,-,
AGBE,-,-,-,5920,-,
AGDE,-,5260,-,-,-,
ADBG,-,-,-,-,5750,
ADBE,-,-,4770,-,-,
ADGB,-,-,-,-,3880,
ADEB,-,-,2790,-,-,
AEBG,-,-,-,4740,-,
AEGB,-,-,-,7240,-,
AEGD,-,6970,-,-,-,
AEDG,-,3770,-,-,-,
