prefix,alpha,beta,gamma,delta,epsilon,
E,600,420,840,510,-,
 , , , , , ,
EA,-,1100,1350,1200,-,
EB,1120,-,1260,2170,-,
EG,2340,2040,-,2440,-,
ED,990,1510,1150,-,-,
 , , , , , ,
EAB,-,-,2180,3350,-,
EAG,-,2790,-,3270,-,
EAD,-,2700,2160,-,-,
EBA,-,-,2470,2200,-,
EBG,3360,-,-,3500,-,
EBD,3130,-,3450,-,-,
EGA,-,3540,-,3780,-,
EGB,3440,-,-,5540,-,
EGD,3760,5190,-,-,-,
EDA,-,1590,1890,-,-,
EDB,2310,-,2470,-,-,
EDG,2800,2470,-,-,-,
 , , , , , ,
EABG,-,-,-,4740,-,
EAGB,-,-,-,6790,-,
EAGD,-,6520,-,-,-,
EBAD,-,-,3800,-,-,
EBGA,-,-,-,5280,-,
EBGD,5300,-,-,-,-,
EDAB,-,-,2790,-,-,
EDAG,-,3450,-,-,-,
EDBA,-,-,3810,-,-,
EDBG,4720,-,-,-,-,
EDGA,-,4100,-,-,-,
EDGB,3970,-,-,-,-,
