prefix,alpha,beta,gamma,delta,epsilon,
D,120,250,160,-,170,
 , , , , , ,
DA,-,420,570,-,720,
DB,750,-,850,-,950,
DG,1360,1120,-,-,2400,
DE,970,730,1290,-,-,
 , , , , , ,
DAB,-,-,1260,-,1400,
DAG,-,1770,-,-,3370,
DAE,-,1560,2400,-,-,
DBA,-,-,1800,-,2150,
DBG,2650,-,-,-,4210,
DBE,2550,-,3190,-,-,
DGA,-,2360,-,-,3360,
DGB,2320,-,-,-,2800,
DGE,4600,3940,-,-,-,
DEA,-,1570,1870,-,-,
DEB,1530,-,1690,-,-,
DEG,2940,2610,-,-,-,
 , , , , , ,
DABG,-,-,-,-,5180,
DABE,-,-,4200,-,-,
DAGB,-,-,-,-,3730,
DAEB,-,-,2760,-,-,
DGAE,-,5180,-,-,-,
DGBA,-,-,-,-,5120,
DGBE,5800,-,-,-,-,
DEAG,-,3430,-,-,-,
DEBA,-,-,3030,-,-,
DEBG,3940,-,-,-,-,
DEGA,-,4240,-,-,-,
DEGB,4110,-,-,-,-,
