prefix,alpha,beta,gamma,delta,epsilon,
G,1050,840,-,1120,1960,
 , , , , , ,
GA,-,1950,-,2130,2850,
GB,1940,-,-,3590,2380,
GD,2080,3120,-,-,2480,
GE,3960,3360,-,3660,-,
 , , , , , ,
GAB,-,-,-,5200,3770,
GAD,-,4630,-,-,3830,
GAE,-,4530,-,4890,-,
GBA,-,-,-,3500,4540,
GBD,5030,-,-,-,5630,
GBE,5180,-,-,4760,-,
GDA,-,3080,-,-,4080,
GDB,4320,-,-,-,4800,
GDE,4680,4020,-,-,-,
GEA,-,5160,-,5400,-,
GEB,4760,-,-,6860,-,
GED,4980,6410,-,-,-,
 , , , , , ,
GABE,-,-,-,6490,-,
GADE,-,5650,-,-,-,
GAEB,-,-,-,8530,-,
GAED,-,8140,-,-,-,
GBAD,-,-,-,-,5880,
GBED,6560,-,-,-,-,
GDAB,-,-,-,-,5040,
GDBA,-,-,-,-,7120,
GDBE,7800,-,-,-,-,
GDEA,-,5980,-,-,-,
GDEB,5520,-,-,-,-,
GEBA,-,-,-,6680,-,
